Product Category No.,Brand,Model,Product Type,Product Configuration,Product Unit Mount,GEMS Class,Heating Capacity (kW),Cooling Capacity (kW),AEER,ACOP,GEMS HSPF Cold (com),GEMS HSPF Mixed (com),GEMS HSPF Cold (res),GEMS HSPF Mixed (res),GEMS TCSPF Cold (com),GEMS TCSPF Mixed (com),GEMS TCSPF Cold (res),GEMS TCSPF Mixed (res),Calculated HSPF Cold (com),Calculated HSPF Mixed (com),Calculated HSPF Cold (res),Calculated HSPF Mixed (res),Calculated TCSPF Cold (com),Calculated TCSPF Mixed (com),Calculated TCSPF Cold (res),Calculated TCSPF Mixed (res),Refrigerant Type (GWP),Status,Application Date,Effective From,Effective To
6E(ii),Panasonic,CU-Z80XKR / CS-Z80XKR,Non-Ducted,Single split system,Wall Hung,Class 9,9.00,8.00,3.263,3.641,4.139,4.601,3.782,4.312,7.776,6.751,5.343,5.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(ii),Panasonic,CU-Z80YKR / CS-Z80YKR,Non-Ducted,Single split system,Wall Hung,Class 9,9.00,8.00,3.336,3.832,4.256,4.739,3.899,4.465,7.526,6.622,5.494,5.128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6A,Panasonic,U-100PZ3R5 / S-1014PF3E,Ducted,Single split system,N/A,Class 10,9.50,9.50,3.487,3.985,4.310,4.683,4.059,4.520,6.487,5.912,4.622,4.517,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6F,Panasonic,U-100PZ3R5 / S-1014PU3E,Non-Ducted,Single split system,Casette,Class 11,10.00,10.00,3.725,4.775,4.782,5.107,4.623,5.058,7.938,7.050,5.096,5.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6B(i),Panasonic,U-100PZ3R5/S-100PE3R,Ducted,Single split system,N/A,Class 11,10.00,10.00,3.520,3.999,3.611,3.800,3.556,3.813,5.283,4.987,4.238,4.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6F,Panasonic,U-100PZ3R5/S-1014PT3E,Non-Ducted,Single split system,Under Ceiling,Class 11,10.00,10.00,3.558,4.131,4.573,5.144,4.156,4.787,6.634,6.127,4.708,4.639,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,09/08/2023,,
6A,Panasonic,U-100PZ3R8 / S-1014PF3E,Ducted,Single split system,N/A,Class 10,9.50,9.50,3.487,3.985,4.310,4.683,4.059,4.520,6.487,5.912,4.622,4.517,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6F,Panasonic,U-100PZ3R8 / S-1014PU3E,Non-Ducted,Single split system,Casette,Class 11,10.00,10.00,3.725,4.775,4.782,5.107,4.623,5.058,7.938,7.050,5.096,5.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6B(i),Panasonic,U-100PZ3R8/S-100PE3R,Ducted,Single split system,N/A,Class 11,10.00,10.00,3.520,3.999,3.611,3.800,3.556,3.813,5.283,4.987,4.238,4.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6F,Panasonic,U-100PZ3R8/S-1014PT3E,Non-Ducted,Single split system,Under Ceiling,Class 11,10.00,10.00,3.558,4.131,4.573,5.144,4.156,4.787,6.634,6.127,4.708,4.639,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,09/08/2023,,
6B(i),Panasonic,U-100PZH3R5/S-100PE3R,Ducted,Single split system,N/A,Class 11,11.20,10.00,3.716,3.720,4.321,4.733,3.936,4.349,5.872,5.472,4.541,4.468,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6A,Panasonic,U-100PZH3R5/S-1014PF3E,Ducted,Single split system,N/A,Class 10,10.80,9.50,4.076,3.898,4.654,5.130,4.218,4.704,7.287,6.755,5.293,5.212,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(ii),Panasonic,U-100PZH3R5/S-1014PT3E,Non-Ducted,Single split system,Under Ceiling,Class 9,11.20,9.50,4.047,4.004,4.668,5.181,4.218,4.741,7.545,6.956,5.337,5.253,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,09/08/2023,,
6F,Panasonic,U-100PZH3R5/S-1014PU3E,Non-Ducted,Single split system,Casette,Class 11,11.20,10.00,4.322,4.904,4.922,5.358,4.638,5.151,7.695,7.097,5.641,5.536,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6B(i),Panasonic,U-100PZH3R8/S-100PE3R,Ducted,Single split system,N/A,Class 11,11.20,10.00,3.716,3.720,4.321,4.733,3.936,4.349,5.872,5.472,4.541,4.468,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6A,Panasonic,U-100PZH3R8/S-1014PF3E,Ducted,Single split system,N/A,Class 10,10.80,9.50,4.076,3.898,4.654,5.130,4.218,4.704,7.287,6.755,5.293,5.212,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(ii),Panasonic,U-100PZH3R8/S-1014PT3E,Non-Ducted,Single split system,Under Ceiling,Class 9,11.20,9.50,4.047,4.004,4.668,5.181,4.218,4.741,7.545,6.956,5.337,5.253,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,09/08/2023,,
6F,Panasonic,U-100PZH3R8/S-1014PU3E,Non-Ducted,Single split system,Casette,Class 11,11.20,10.00,4.322,4.904,4.922,5.358,4.638,5.151,7.695,7.097,5.641,5.536,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6B(i),Panasonic,U-125PZ3R5 / S-1014PF3E,Ducted,Single split system,N/A,Class 11,12.10,12.10,3.339,3.493,4.100,4.604,3.682,4.212,6.359,5.806,4.516,4.418,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6F,Panasonic,U-125PZ3R5 / S-1014PU3E,Non-Ducted,Single split system,Casette,Class 11,12.50,12.50,3.517,4.334,4.530,5.107,4.165,4.870,6.945,6.287,4.853,4.731,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,08/08/2023,,
6B(i),Panasonic,U-125PZ3R5/S-125PE3R,Ducted,Single split system,N/A,Class 11,12.50,12.50,3.501,3.967,3.525,3.732,3.474,3.797,5.206,4.889,4.260,4.168,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6B(i),Panasonic,U-125PZ3R8 / S-1014PF3E,Ducted,Single split system,N/A,Class 11,12.10,12.10,3.339,3.493,4.100,4.604,3.682,4.212,6.359,5.806,4.516,4.418,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6F,Panasonic,U-125PZ3R8 / S-1014PU3E,Non-Ducted,Single split system,Casette,Class 11,12.50,12.50,3.517,4.334,4.530,5.107,4.165,4.870,6.945,6.287,4.853,4.731,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,08/08/2023,,
6B(i),Panasonic,U-125PZ3R8/S-125PE3R,Ducted,Single split system,N/A,Class 11,12.50,12.50,3.501,3.967,3.525,3.732,3.474,3.797,5.206,4.889,4.260,4.168,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
