Product Category No.,Brand,Model,Product Type,Product Configuration,Product Unit Mount,GEMS Class,Heating Capacity (kW),Cooling Capacity (kW),AEER,ACOP,GEMS HSPF Cold (com),GEMS HSPF Mixed (com),GEMS HSPF Cold (res),GEMS HSPF Mixed (res),GEMS TCSPF Cold (com),GEMS TCSPF Mixed (com),GEMS TCSPF Cold (res),GEMS TCSPF Mixed (res),Calculated HSPF Cold (com),Calculated HSPF Mixed (com),Calculated HSPF Cold (res),Calculated HSPF Mixed (res),Calculated TCSPF Cold (com),Calculated TCSPF Mixed (com),Calculated TCSPF Cold (res),Calculated TCSPF Mixed (res),Refrigerant Type (GWP),Status,Application Date,Effective From,Effective To
6A,Actron Air,LRC-071CS / LRE-071CS,Ducted,Single split system,N/A,Class 10,7.70,7.30,3.486,4.366,4.419,4.814,4.155,4.626,5.511,2.603,5.490,5.359,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,10/08/2023,,
6B(i),Actron Air,LRC-100CS / LRE-100CS,Ducted,Single split system,N/A,Class 11,11.50,10.50,3.361,4.207,4.302,4.866,3.908,4.517,20.369,9.483,6.291,5.962,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,10/08/2023,,
6B(i),Actron Air,LRC-170CS / LRE-170CS,Ducted,Single split system,N/A,Class 11,17.60,16.60,3.337,3.969,4.083,4.699,3.634,4.286,46.344,12.841,5.600,5.285,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,10/08/2023,,
6B(i),Actron Air,URC-125CS / LRE-125CS,Ducted,Single split system,N/A,Class 11,13.40,12.90,3.511,4.144,4.439,4.786,4.137,4.499,31.794,15.081,5.367,5.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,10/08/2023,,
6B(i),Actron Air,URC-140CS / LRE-140CS,Ducted,Single split system,N/A,Class 11,14.35,14.00,3.378,4.107,4.217,4.664,3.888,4.364,15.487,9.632,5.662,5.375,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,10/08/2023,,
6D,Actron Air,WRC-026CS / WRE-026CS,Non-Ducted,Single split system,Wall Hung,Class 8,2.75,2.65,5.858,5.585,5.134,5.450,4.999,5.385,15.657,12.496,8.700,8.406,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,10/08/2023,,
6D,Actron Air,WRC-035CS / WRE-035CS,Non-Ducted,Single split system,Wall Hung,Class 8,3.70,3.50,4.779,4.790,4.715,5.291,4.383,5.102,9.773,8.778,7.157,6.841,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,10/08/2023,,
6E(i),Actron Air,WRC-050CS / WRE-050CS,Non-Ducted,Single split system,Wall Hung,Class 9,5.00,5.00,4.261,4.298,4.137,4.697,3.790,4.476,11.520,9.148,6.598,6.291,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,10/08/2023,,
6D,Carrier,38QHG020N8/42QHG020N8-1,Non-Ducted,Single split system,Wall Hung,Class 8,2.20,2.00,4.416,4.753,4.521,4.802,4.398,4.762,13.235,10.274,6.962,6.657,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6D,Carrier,38QHG026N8/42QHG026N8-1,Non-Ducted,Single split system,Wall Hung,Class 8,2.75,2.65,4.976,5.163,5.209,5.598,4.927,5.353,16.745,11.876,8.031,7.581,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6D,Carrier,38QHG035N8/42QHG035N8-1,Non-Ducted,Single split system,Wall Hung,Class 8,3.75,3.50,4.416,4.504,4.831,5.487,4.319,4.976,15.021,10.626,6.981,6.689,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(ii),Carrier,38QHG070N8-1/42QHG070N8-1,Non-Ducted,Single split system,Wall Hung,Class 9,7.60,7.00,3.497,3.666,4.096,4.519,3.754,4.221,7.789,6.732,5.471,5.162,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(ii),Carrier,38QHG080N8-1/42QHG080N8-1,Non-Ducted,Single split system,Wall Hung,Class 9,8.20,8.00,3.399,3.560,4.021,4.494,3.636,4.149,7.676,6.599,5.270,4.998,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6B(i),Carrier,38QSH170D8S/42QSH170D8S,Ducted,Single split system,Floor/Ceiling,Class 11,17.00,16.20,3.209,3.779,4.140,4.708,3.710,4.303,3.596,12.313,5.371,5.085,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(i),DAIKIN,RXF46WVMA / FTXF46WVMA,Non-Ducted,Single split system,Wall Hung,Class 9,4.70,4.60,3.575,3.740,4.116,4.558,3.817,4.316,6.387,5.815,5.043,4.813,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6D,DAIKIN,RXJ25TVMA / FTXJ25TVMAK,Non-Ducted,Single split system,Wall Hung,Class 8,3.20,2.50,5.033,4.799,4.501,4.762,4.402,4.704,6.480,6.171,5.467,5.426,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,30/08/2023,,
6D,DAIKIN,RXJ25TVMA / FTXJ25TVMAW,Non-Ducted,Single split system,Wall Hung,Class 8,3.20,2.50,5.033,4.799,4.501,4.762,4.402,4.704,6.480,6.171,5.467,5.426,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,30/08/2023,,
6D,DAIKIN,RXM20WVMA / FTXM20WVMA,Non-Ducted,Single split system,Wall Hung,Class 8,2.70,2.20,5.254,5.360,4.862,5.168,4.764,5.125,13.121,10.350,7.393,7.145,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6D,DAIKIN,RXM25WVMA / FTXM25WVMA,Non-Ducted,Single split system,Wall Hung,Class 8,3.20,2.50,5.334,4.971,4.894,5.254,4.706,5.119,12.850,10.360,7.545,7.292,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6D,DAIKIN,RXM35WVMA / FTXM35WVMA,Non-Ducted,Single split system,Wall Hung,Class 8,3.70,3.50,4.355,4.864,4.731,5.174,4.501,5.023,11.818,9.532,6.963,6.606,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(i),DAIKIN,RXM46WVMA / FTXM46WVMA,Non-Ducted,Single split system,Wall Hung,Class 9,4.70,4.60,3.936,4.503,4.817,5.268,4.522,5.030,8.832,7.498,6.055,5.710,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(i),DAIKIN,RXM50WVMA / FTXM50WVMA,Non-Ducted,Single split system,Wall Hung,Class 9,6.00,5.00,4.410,4.863,4.924,5.482,4.602,5.252,10.282,8.688,6.991,6.558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(i),DAIKIN,RXM60WVMA / FTXM60WVMA,Non-Ducted,Single split system,Wall Hung,Class 9,7.20,6.00,4.044,4.462,4.589,5.143,4.257,4.900,9.185,7.905,6.553,6.109,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(ii),DAIKIN,RXM71WVMA / FTXM71WVMA,Non-Ducted,Single split system,Wall Hung,Class 9,8.00,7.10,3.493,4.015,4.301,4.769,4.002,4.539,7.559,6.604,5.067,4.872,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(i),DAIKIN,RXS50RV1A / FVXS50RV1A,Non-Ducted,Single split system,Floor Mounted,Class 9,5.80,5.00,3.859,4.012,4.276,4.704,3.997,4.488,6.567,6.104,5.485,5.215,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6D,DAIKIN,RXV20WVMA / FTXV20WVMA,Non-Ducted,Single split system,Wall Hung,Class 8,2.70,2.00,4.933,5.043,4.349,4.545,4.341,4.573,9.682,8.402,6.510,6.344,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,30/08/2023,,
6D,DAIKIN,RXV25WVMA / FTXV25WVMA,Non-Ducted,Single split system,Wall Hung,Class 8,3.20,2.50,5.046,4.958,4.635,4.921,4.525,4.857,12.979,10.437,7.298,7.065,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,30/08/2023,,
6E(i),DAIKIN,RXV46WVMA / FTXV46WVMA,Non-Ducted,Single split system,Wall Hung,Class 9,4.70,4.60,3.814,4.211,4.236,4.569,4.044,4.429,7.528,6.674,5.605,5.322,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,30/08/2023,,
6E(i),DAIKIN,RXV50WVMA / FTXV50WVMA,Non-Ducted,Single split system,Wall Hung,Class 9,6.00,5.00,4.363,4.594,4.423,4.859,4.194,4.715,9.846,8.439,6.808,6.411,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,30/08/2023,,
6E(i),DAIKIN,RXV60WVMA / FTXV60WVMA,Non-Ducted,Single split system,Wall Hung,Class 9,7.20,6.00,3.932,4.401,4.272,4.730,4.022,4.568,7.226,6.659,5.950,5.599,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,30/08/2023,,
6E(ii),DAIKIN,RXV71WVMA / FTXV71WVMA,Non-Ducted,Single split system,Wall Hung,Class 9,8.00,7.10,3.618,4.183,4.132,4.534,3.912,4.390,6.702,6.100,4.936,4.777,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,30/08/2023,,
6A,Fujitsu,AOTH09KBTA/ARTH09KLLAP,Ducted,Single split system,N/A,Class 10,3.20,2.50,4.014,4.088,4.074,4.390,3.900,4.270,5.683,5.398,4.567,4.535,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6A,Fujitsu,AOTH09KBTA/ARTH09KSLAP,Ducted,Single split system,N/A,Class 10,3.20,2.50,3.835,3.941,3.879,4.151,3.736,4.053,5.663,5.359,4.551,4.490,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6A,Fujitsu,AOTH12KBTA/ARTH12KLLAP,Ducted,Single split system,N/A,Class 10,4.00,3.50,3.712,3.764,3.880,4.305,3.618,4.116,5.459,5.155,4.485,4.397,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6A,Fujitsu,AOTH18KBTA/ARTH18KMTAP,Ducted,Single split system,N/A,Class 10,6.00,5.00,3.619,3.770,3.923,4.409,3.616,4.182,5.866,5.485,4.844,4.663,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6A,Fujitsu,AOTH24KCTA/ARTH24KMTAP,Ducted,Single split system,N/A,Class 10,8.00,7.10,3.823,4.130,4.288,4.679,4.043,4.491,5.302,5.005,4.598,4.474,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6A,Fujitsu,AOTH30KBTA/ARTH30KHTA,Ducted,Single split system,N/A,Class 10,10.00,8.50,3.606,4.242,3.895,4.350,3.654,4.211,5.397,5.065,4.637,4.469,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6A,Fujitsu,AOTH30KCTA/ARTH30KHTA,Ducted,Single split system,N/A,Class 10,10.00,8.50,3.885,4.529,4.201,4.624,3.994,4.509,5.458,5.148,4.727,4.593,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6A,Fujitsu,AOTH30KCTA/ARTH30KMTAP,Ducted,Single split system,N/A,Class 10,10.00,8.50,3.749,4.037,4.207,4.702,3.899,4.472,5.481,5.154,4.727,4.569,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6B(i),Fujitsu,AOTH36KBTA/ARTH36KHTA,Ducted,Single split system,N/A,Class 11,11.20,10.00,3.239,3.989,3.670,4.340,3.429,4.073,5.544,5.144,4.675,4.426,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6B(i),Fujitsu,AOTH36KCTA/ARTH36KHTA,Ducted,Single split system,N/A,Class 11,12.50,10.00,3.834,4.240,4.043,4.580,3.733,4.377,5.694,5.347,4.900,4.727,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6B(i),Fujitsu,AOTH36KRTA/ARTH36KHTA,Ducted,Single split system,N/A,Class 11,11.20,10.00,3.239,3.989,3.670,4.340,3.429,4.073,5.544,5.144,4.675,4.426,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6B(i),Fujitsu,AOTH45KBTA/ARTH45KHTA,Ducted,Single split system,N/A,Class 11,14.00,12.50,3.282,4.084,3.901,4.410,3.574,4.208,5.465,5.083,4.635,4.403,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6B(i),Fujitsu,AOTH45KCTA/ARTH45KHTA,Ducted,Single split system,N/A,Class 11,15.00,12.50,3.637,4.289,3.992,4.446,3.753,4.305,5.528,5.180,4.760,4.573,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6B(i),Fujitsu,AOTH45KRTA/ARTH45KHTA,Ducted,Single split system,N/A,Class 11,14.00,12.50,3.282,4.084,3.901,4.410,3.574,4.208,5.465,5.083,4.635,4.403,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6B(i),Fujitsu,AOTH54KCTA/ARTH54KHTA,Ducted,Single split system,N/A,Class 11,16.50,14.00,3.574,4.117,3.729,4.154,3.502,4.028,5.375,5.040,4.642,4.464,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6B(i),Fujitsu,AOTH60KCTA/ARTH60KHTB,Ducted,Single split system,N/A,Class 11,18.00,16.00,3.314,3.882,3.734,4.195,3.428,4.001,5.320,4.962,4.555,4.342,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6D,Fujitsu General,AOTG09KMTC/ASTG09KMTC,Non-Ducted,Single split system,Wall Hung,Class 8,3.20,2.50,4.701,4.835,4.744,5.112,4.548,4.975,10.227,8.777,7.155,6.755,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6D,Fujitsu General,AOTG12KMTC/ASTG12KMTC,Non-Ducted,Single split system,Wall Hung,Class 8,3.70,3.50,3.925,4.673,4.518,4.971,4.278,4.817,10.522,8.666,6.625,6.193,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(i),Fujitsu General,AOTG18KMTC/ASTG18KMTC,Non-Ducted,Single split system,Wall Hung,Class 9,6.00,5.00,4.300,4.677,4.216,4.533,4.092,4.480,8.512,7.555,6.472,6.102,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6D,HITACHI,RAC-DJ25PHAT/RAK-DJ25PHAT,Non-Ducted,Single split system,Wall Hung,Class 8,3.20,2.50,4.758,4.809,4.770,5.187,4.548,5.032,13.816,10.350,6.983,6.722,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,29/06/2023,,
6D,HITACHI,RAC-DJ35PHAT/RAK-DJ35PHAT,Non-Ducted,Single split system,Wall Hung,Class 8,4.00,3.50,3.909,4.518,4.528,4.969,4.278,4.793,12.174,9.296,6.387,6.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,29/06/2023,,
6E(i),HITACHI,RAC-DJ50PHAT/RAK-DJ50PHAT,Non-Ducted,Single split system,Wall Hung,Class 9,5.30,5.00,3.520,3.731,4.012,4.384,3.760,4.181,8.483,7.243,5.608,5.312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,29/06/2023,,
6D,HITACHI,RAC-P25YHAB/RAS-P25YHAB,Non-Ducted,Single split system,Wall Hung,Class 8,3.30,2.50,5.150,5.277,4.924,5.320,4.756,5.228,9.524,8.241,6.818,6.676,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,29/06/2023,,
6D,HITACHI,RAC-P35YHAB/RAS-P35YHAB,Non-Ducted,Single split system,Wall Hung,Class 8,4.30,3.50,4.633,4.856,4.970,5.474,4.677,5.258,12.764,10.209,7.148,6.849,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,29/06/2023,,
6E(i),HITACHI,RAC-P50YHAB/RAS-P50YHAB,Non-Ducted,Single split system,Wall Hung,Class 9,6.00,5.00,3.772,4.300,4.246,4.664,4.011,4.505,7.960,7.026,5.559,5.344,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,29/06/2023,,
6D,HITACHI,RAC-S25YHAB/RAS-S25YHAB,Non-Ducted,Single split system,Wall Hung,Class 8,3.20,2.50,5.074,5.058,4.869,5.306,4.659,5.170,6.774,6.411,5.889,5.757,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,02/07/2023,,
6D,HITACHI,RAC-S35YHAB/RAS-S35YHAB,Non-Ducted,Single split system,Wall Hung,Class 8,3.80,3.50,4.203,4.918,4.644,5.067,4.440,4.946,6.839,6.377,5.792,5.527,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,12/07/2023,,
6E(i),HITACHI,RAC-S50YHAB/RAS-S50YHAB,Non-Ducted,Single split system,Wall Hung,Class 9,6.00,5.00,4.273,4.255,4.234,4.658,3.993,4.494,6.600,6.196,5.493,5.320,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,02/07/2023,,
6E(i),HITACHI,RAC-S60YHAB/RAS-S60YHAB,Non-Ducted,Single split system,Wall Hung,Class 9,7.00,6.00,3.773,4.023,4.343,5.024,3.905,4.678,6.793,6.288,5.560,5.264,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,12/07/2023,,
6E(ii),HITACHI,RAC-S70YHAB/RAS-S70YHAB,Non-Ducted,Single split system,Wall Hung,Class 9,8.00,7.00,3.517,4.020,4.025,4.900,3.671,4.488,6.074,5.636,5.062,4.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,02/07/2023,,
6D,HITACHI,RAC-VJ25PHAT/RAK-VJ25PHAT,Non-Ducted,Single split system,Wall Hung,Class 8,3.20,2.50,5.098,5.117,4.906,5.277,4.734,5.167,17.522,12.139,7.244,7.114,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,29/06/2023,,
6D,HITACHI,RAC-VJ35PHAT/RAK-VJ35PHAT,Non-Ducted,Single split system,Wall Hung,Class 8,3.80,3.50,4.215,4.933,4.846,5.199,4.667,5.073,12.218,9.639,6.743,6.410,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,29/06/2023,,
6B(i),Midea,DUCMI125IHB/UCMI125OB,Ducted,Single split system,Under Ceiling,Class 11,13.00,12.50,3.440,4.277,4.416,4.825,4.100,4.522,23.280,10.421,5.516,5.309,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,07/09/2023,,
6D,Midea,MFAG20VA-W/MFAG20VA-N,Non-Ducted,Single split system,Wall Hung,Class 8,2.25,2.00,4.392,4.485,4.762,5.040,4.586,4.909,13.711,10.498,7.300,6.931,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,11/09/2023,,
6D,Midea,MFAG26VA-W/MFAG26VA-N,Non-Ducted,Single split system,Wall Hung,Class 8,2.70,2.60,4.629,4.870,4.601,5.012,4.306,4.767,12.579,9.873,6.970,6.632,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,11/09/2023,,
6E(i),Midea,MFCA50VA-W / MFCA50VA-N,Non-Ducted,Single split system,Wall Hung,Class 9,5.20,5.20,3.810,4.168,4.467,4.757,4.247,4.581,11.773,8.497,6.032,5.687,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,26/08/2023,,
6E(ii),Midea,MFEP70VA-W/MFEP70VA-N,Non-Ducted,Single split system,Wall Hung,Class 9,8.80,7.00,3.691,3.725,4.173,4.673,3.778,4.326,11.969,8.705,6.115,5.743,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,11/09/2023,,
6E(ii),Midea,MFEP80VA-W/MFEP80VA-N,Non-Ducted,Single split system,Wall Hung,Class 9,9.00,8.00,3.481,3.553,4.111,4.626,3.694,4.244,12.569,13.098,5.974,5.666,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,11/09/2023,,
6B(i),Midea,UCMI140OB/DUCMI140IHB,Ducted,Single split system,Under Ceiling,Class 11,14.50,14.00,3.307,3.832,4.183,4.642,3.818,4.299,15.246,9.524,5.619,5.319,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,07/09/2023,,
6B(i),MIDEA,DUCMI170IHB/UCMI170OB,Ducted,Single split system,Under Ceiling,Class 11,17.50,17.00,3.894,3.211,4.115,4.704,3.681,4.304,3.968,13.551,5.556,5.215,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,07/09/2023,,
6D,MIDEA,MFCA26VA-W/MFCA26VA-N,Non-Ducted,Single split system,Wall Hung,Class 8,2.65,2.60,4.955,5.250,5.031,5.265,4.760,4.958,26.384,15.023,8.279,7.894,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,23/08/2023,,
6D,MIDEA,MFCA35VA-W/MFCA35VA-N,Non-Ducted,Single split system,Wall Hung,Class 8,3.60,3.55,4.411,4.647,5.019,5.441,4.662,5.105,10.432,12.751,7.320,7.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,23/08/2023,,
6D,MIDEA,MFEP26VA-W/MFEP26VA-N,Non-Ducted,Single split system,Wall Hung,Class 8,2.70,2.60,5.270,5.506,5.268,5.552,5.108,5.446,20.703,13.770,8.469,8.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,23/08/2023,,
6D,MIDEA,MFEP35VA-W/MFEP35VA-N,Non-Ducted,Single split system,Wall Hung,Class 8,3.65,3.50,4.585,4.683,4.857,5.347,4.507,5.063,21.554,12.832,7.878,7.425,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,23/08/2023,,
6D,MIDEA,MFXS26,Non-Ducted,Single split system,Wall Hung,Class 8,2.70,2.65,4.981,5.273,5.175,5.505,4.961,5.345,16.555,11.782,7.887,7.497,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(ii),MIDEA,MULMI0371B,Non-Ducted,Multiple split - fixed head,Wall Hung,Class 19,7.50,7.10,3.567,4.463,4.498,4.786,4.333,4.712,15.732,9.384,5.302,5.169,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,17/08/2023,,
6E(ii),MIDEA,MULMI0480B,Non-Ducted,Multiple split - fixed head,Wall Hung,Class 19,8.50,8.00,3.895,4.284,4.403,4.874,4.090,4.646,24.973,11.609,5.683,5.582,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,17/08/2023,,
6F,MIDEA,MULMI0511B,Non-Ducted,Multiple split - fixed head,Wall Hung,Class 20,11.00,10.50,3.217,3.909,3.913,4.295,3.669,4.136,8.438,6.875,4.749,4.598,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,17/08/2023,,
6D,Mitsubishi Electric,MUZ-AP25VG/MSZ-AP25VGD,Non-Ducted,Single split system,Wall Hung,Class 8,3.20,2.50,4.966,4.752,4.708,5.030,4.531,4.901,9.083,8.243,7.014,6.719,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6D,Mitsubishi Electric,MUZ-AP25VGD/MSZ-AP25VGD,Non-Ducted,Single split system,Wall Hung,Class 8,3.20,2.50,4.966,4.752,4.708,5.030,4.531,4.901,9.083,8.243,7.014,6.719,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6D,Mitsubishi Electric,MUZ-AP35VG/MSZ-AP35VGD,Non-Ducted,Single split system,Wall Hung,Class 8,3.70,3.50,4.007,4.549,4.472,4.894,4.241,4.739,8.821,7.862,6.639,6.187,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6D,Mitsubishi Electric,MUZ-AP35VGD/MSZ-AP35VGD,Non-Ducted,Single split system,Wall Hung,Class 8,3.70,3.50,4.007,4.549,4.472,4.894,4.241,4.739,8.821,7.862,6.639,6.187,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(i),Mitsubishi Electric,MUZ-AP50VG/MSZ-AP50VGD,Non-Ducted,Single split system,Wall Hung,Class 9,6.00,5.00,3.778,3.696,4.478,5.016,3.944,4.421,7.655,6.837,5.989,5.584,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(i),Mitsubishi Electric,MUZ-AP50VGD/MSZ-AP50VGD,Non-Ducted,Single split system,Wall Hung,Class 9,6.00,5.00,3.778,3.696,4.478,5.016,3.944,4.421,7.655,6.837,5.989,5.584,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(i),Mitsubishi Electric,MUZ-AP60VG/MSZ-AP60VGD,Non-Ducted,Single split system,Wall Hung,Class 9,6.80,6.00,3.766,4.064,4.110,4.481,3.890,4.321,6.981,6.315,5.551,5.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(i),Mitsubishi Electric,MUZ-AP60VGD/MSZ-AP60VGD,Non-Ducted,Single split system,Wall Hung,Class 9,6.80,6.00,3.766,4.064,4.110,4.481,3.890,4.321,6.981,6.315,5.551,5.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(ii),Mitsubishi Electric,MUZ-AP71VG/MSZ-AP71VGD,Non-Ducted,Single split system,Wall Hung,Class 9,8.00,7.10,3.526,3.822,4.062,4.463,3.796,4.255,6.217,5.684,5.077,4.812,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,18/08/2023,,
